"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2023","Immatricolati puri ** (L; LMCU)","40.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2024","Immatricolati puri ** (L; LMCU)","29.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2025","Immatricolati puri ** (L; LMCU)","33.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2020","Immatricolati puri ** (L; LMCU)","420.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2021","Immatricolati puri ** (L; LMCU)","351.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2022","Immatricolati puri ** (L; LMCU)","264.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2023","Immatricolati puri ** (L; LMCU)","284.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2024","Immatricolati puri ** (L; LMCU)","294.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2025","Immatricolati puri ** (L; LMCU)","167.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2020","Immatricolati puri ** (L; LMCU)","655.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2021","Immatricolati puri ** (L; LMCU)","405.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2022","Immatricolati puri ** (L; LMCU)","369.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2023","Immatricolati puri ** (L; LMCU)","472.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2024","Immatricolati puri ** (L; LMCU)","487.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2025","Immatricolati puri ** (L; LMCU)","723.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2020","Immatricolati puri ** (L; LMCU)","68.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2021","Immatricolati puri ** (L; LMCU)","84.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2022","Immatricolati puri ** (L; LMCU)","74.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2023","Immatricolati puri ** (L; LMCU)","106.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2024","Immatricolati puri ** (L; LMCU)","93.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2025","Immatricolati puri ** (L; LMCU)","76.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2020","Immatricolati puri ** (L; LMCU)","79.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2021","Immatricolati puri ** (L; LMCU)","77.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2022","Immatricolati puri ** (L; LMCU)","77.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2023","Immatricolati puri ** (L; LMCU)","98.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2024","Immatricolati puri ** (L; LMCU)","73.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2025","Immatricolati puri ** (L; LMCU)","137.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2020","Immatricolati puri ** (L; LMCU)","256.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2021","Immatricolati puri ** (L; LMCU)","248.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2022","Immatricolati puri ** (L; LMCU)","248.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2023","Immatricolati puri ** (L; LMCU)","190.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2024","Immatricolati puri ** (L; LMCU)","224.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2025","Immatricolati puri ** (L; LMCU)","93.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2020","Immatricolati puri ** (L; LMCU)","59.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2021","Immatricolati puri ** (L; LMCU)","66.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2022","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2023","Immatricolati puri ** (L; LMCU)","62.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2024","Immatricolati puri ** (L; LMCU)","59.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2025","Immatricolati puri ** (L; LMCU)","54.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2020","Immatricolati puri ** (L; LMCU)","65.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2021","Immatricolati puri ** (L; LMCU)","82.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2022","Immatricolati puri ** (L; LMCU)","77.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2023","Immatricolati puri ** (L; LMCU)","77.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2024","Immatricolati puri ** (L; LMCU)","67.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2025","Immatricolati puri ** (L; LMCU)","53.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2020","Immatricolati puri ** (L; LMCU)","506.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2021","Immatricolati puri ** (L; LMCU)","652.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2022","Immatricolati puri ** (L; LMCU)","568.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2023","Immatricolati puri ** (L; LMCU)","409.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2024","Immatricolati puri ** (L; LMCU)","389.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2025","Immatricolati puri ** (L; LMCU)","179.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2020","Immatricolati puri ** (L; LMCU)","204.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2021","Immatricolati puri ** (L; LMCU)","163.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2022","Immatricolati puri ** (L; LMCU)","134.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2023","Immatricolati puri ** (L; LMCU)","92.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2024","Immatricolati puri ** (L; LMCU)","83.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2025","Immatricolati puri ** (L; LMCU)","93.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2020","Immatricolati puri ** (L; LMCU)","33.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2021","Immatricolati puri ** (L; LMCU)","48.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2022","Immatricolati puri ** (L; LMCU)","42.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2023","Immatricolati puri ** (L; LMCU)","29.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2024","Immatricolati puri ** (L; LMCU)","34.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2025","Immatricolati puri ** (L; LMCU)","22.000"
"L-2 - Biotecnologie","0580106200200002 - Biotecnologie","La Sapienza","2020","Immatricolati puri ** (L; LMCU)","107.000"
"L-2 - Biotecnologie","0580106200200002 - Biotecnologie","La Sapienza","2021","Immatricolati puri ** (L; LMCU)","102.000"
"L-2 - Biotecnologie","0580106200200002 - Biotecnologie","La Sapienza","2022","Immatricolati puri ** (L; LMCU)","95.000"
"L-2 - Biotecnologie","0580106200200002 - Biotecnologie","La Sapienza","2023","Immatricolati puri ** (L; LMCU)","91.000"
"L-2 - Biotecnologie","0580106200200002 - Biotecnologie","La Sapienza","2024","Immatricolati puri ** (L; LMCU)","106.000"
"L-2 - Biotecnologie","0580106200200002 - Biotecnologie","La Sapienza","2025","Immatricolati puri ** (L; LMCU)","106.000"
"L-2 - Biotecnologie","0580106200200003 - Bioinformatica","La Sapienza","2020","Immatricolati puri ** (L; LMCU)","33.000"
"L-2 - Biotecnologie","0580106200200003 - Bioinformatica","La Sapienza","2021","Immatricolati puri ** (L; LMCU)","32.000"
"L-2 - Biotecnologie","0580106200200003 - Bioinformatica","La Sapienza","2022","Immatricolati puri ** (L; LMCU)","36.000"
"L-2 - Biotecnologie","0580106200200003 - Bioinformatica","La Sapienza","2023","Immatricolati puri ** (L; LMCU)","23.000"
"L-2 - Biotecnologie","0580106200200003 - Bioinformatica","La Sapienza","2024","Immatricolati puri ** (L; LMCU)","30.000"
"L-2 - Biotecnologie","0580106200200003 - Bioinformatica","La Sapienza","2025","Immatricolati puri ** (L; LMCU)","36.000"
"L-2 - Biotecnologie","0580206200200001 - Biotecnologie","Tor Vergata","2020","Immatricolati puri ** (L; LMCU)","70.000"
"L-2 - Biotecnologie","0580206200200001 - Biotecnologie","Tor Vergata","2021","Immatricolati puri ** (L; LMCU)","70.000"
"L-2 - Biotecnologie","0580206200200001 - Biotecnologie","Tor Vergata","2022","Immatricolati puri ** (L; LMCU)","65.000"
"L-2 - Biotecnologie","0580206200200001 - Biotecnologie","Tor Vergata","2023","Immatricolati puri ** (L; LMCU)","73.000"
"L-2 - Biotecnologie","0580206200200001 - Biotecnologie","Tor Vergata","2024","Immatricolati puri ** (L; LMCU)","64.000"
"L-2 - Biotecnologie","0580206200200001 - Biotecnologie","Tor Vergata","2025","Immatricolati puri ** (L; LMCU)","59.000"
"L-2 - Biotecnologie","0620106200200003 - BIOTECNOLOGIE","Università del Sannio","2020","Immatricolati puri ** (L; LMCU)","112.000"
"L-2 - Biotecnologie","0620106200200003 - BIOTECNOLOGIE","Università del Sannio","2021","Immatricolati puri ** (L; LMCU)","131.000"
"L-2 - Biotecnologie","0620106200200003 - BIOTECNOLOGIE","Università del Sannio","2022","Immatricolati puri ** (L; LMCU)","172.000"
"L-2 - Biotecnologie","0620106200200003 - BIOTECNOLOGIE","Università del Sannio","2023","Immatricolati puri ** (L; LMCU)","120.000"
"L-2 - Biotecnologie","0620106200200003 - BIOTECNOLOGIE","Università del Sannio","2024","Immatricolati puri ** (L; LMCU)","115.000"
"L-2 - Biotecnologie","0620106200200003 - BIOTECNOLOGIE","Università del Sannio","2025","Immatricolati puri ** (L; LMCU)","132.000"
"L-2 - Biotecnologie","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","Federico II","2020","Immatricolati puri ** (L; LMCU)","55.000"
"L-2 - Biotecnologie","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","Federico II","2021","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","Federico II","2022","Immatricolati puri ** (L; LMCU)","51.000"
