"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2023","Immatricolati puri ** (L; LMCU)","94.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2024","Immatricolati puri ** (L; LMCU)","83.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2013","Immatricolati puri ** (L; LMCU)","61.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2014","Immatricolati puri ** (L; LMCU)","62.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2015","Immatricolati puri ** (L; LMCU)","63.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2016","Immatricolati puri ** (L; LMCU)","65.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2017","Immatricolati puri ** (L; LMCU)","70.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2018","Immatricolati puri ** (L; LMCU)","65.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2019","Immatricolati puri ** (L; LMCU)","66.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2020","Immatricolati puri ** (L; LMCU)","60.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2021","Immatricolati puri ** (L; LMCU)","45.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2022","Immatricolati puri ** (L; LMCU)","52.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2023","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2024","Immatricolati puri ** (L; LMCU)","53.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2013","Immatricolati puri ** (L; LMCU)","64.000"
